3_min_period,centroids,count,distances_below_threshold
1735732800,"[(181.0, 167.0), (289.0, 223.0), (37.0, 215.5), (60.5, 167.0), (145.0, 143.5), (143.0, 125.5), (76.0, 142.0), (66.0, 142.5), (36.0, 215.0), (201.0, 180.5), (295.5, 223.0), (164.5, 153.5), (68.5, 158.5), (145.5, 144.0), (133.0, 132.0), (115.0, 120.0), (104.5, 123.0)]",17,"[((37.0, 215.5), (36.0, 215.0), 1.118033988749895), ((145.0, 143.5), (145.5, 144.0), 0.7071067811865476)]"
1735469820,"[(208.0, 182.0), (264.5, 219.0), (61.5, 169.0), (28.5, 225.0), (153.0, 148.0), (71.0, 144.5), (121.0, 126.0), (208.0, 182.5), (27.5, 224.5), (61.5, 168.0), (263.0, 218.5), (147.5, 142.5), (76.0, 136.5), (171.5, 154.5), (1.5, 214.5), (118.0, 132.5), (50.0, 196.0)]",17,"[((208.0, 182.0), (208.0, 182.5), 0.5), ((264.5, 219.0), (263.0, 218.5), 1.5811388300841898), ((61.5, 169.0), (61.5, 168.0), 1.0), ((28.5, 225.0), (27.5, 224.5), 1.118033988749895)]"
1735731720,"[(238.5, 202.0), (181.0, 167.0), (146.5, 143.5), (61.0, 164.0), (2.0, 195.0), (36.0, 205.5), (51.5, 181.0), (68.5, 148.5), (77.5, 133.5), (8.0, 231.0), (181.0, 167.0), (237.0, 202.0), (145.5, 143.5), (59.5, 168.0), (37.0, 198.5), (66.5, 142.5), (77.0, 142.0)]",17,"[((238.5, 202.0), (237.0, 202.0), 1.5), ((181.0, 167.0), (181.0, 167.0), 0.0), ((146.5, 143.5), (145.5, 143.5), 1.0)]"
1735731180,"[(237.0, 202.0), (181.0, 167.0), (145.5, 144.0), (114.5, 134.5), (60.5, 169.0), (67.0, 149.0), (25.5, 227.0), (129.0, 136.0), (84.5, 118.5), (77.5, 133.0), (237.5, 202.0), (181.0, 167.0), (146.0, 143.5), (60.5, 167.0), (38.0, 200.5), (143.5, 125.5), (67.5, 151.5)]",17,"[((237.0, 202.0), (237.5, 202.0), 0.5), ((181.0, 167.0), (181.0, 167.0), 0.0), ((145.5, 144.0), (146.0, 143.5), 0.7071067811865476), ((60.5, 169.0), (60.5, 167.0), 2.0), ((67.0, 149.0), (67.5, 151.5), 2.5495097567963922)]"
1735443000,"[(181.0, 166.0), (114.0, 133.5), (244.0, 226.5), (146.0, 142.5), (67.0, 157.0), (44.5, 221.0), (79.5, 125.5), (131.5, 135.0), (56.0, 180.0), (266.5, 219.0), (182.0, 166.0), (115.0, 135.0), (45.5, 197.0), (80.5, 123.0), (27.5, 233.0), (138.0, 138.0), (68.0, 154.0)]",17,"[((181.0, 166.0), (182.0, 166.0), 1.0), ((114.0, 133.5), (115.0, 135.0), 1.8027756377319946), ((79.5, 125.5), (80.5, 123.0), 2.692582403567252)]"
1735472700,"[(208.0, 182.0), (27.5, 225.0), (129.5, 151.5), (264.0, 218.5), (61.0, 168.5), (165.0, 153.5), (113.5, 133.5), (75.0, 138.5), (208.5, 182.5), (264.5, 219.5), (82.0, 205.0), (29.0, 225.0), (60.5, 169.5), (155.0, 146.5), (122.0, 126.0), (139.0, 137.0), (76.0, 137.5)]",17,"[((208.0, 182.0), (208.5, 182.5), 0.7071067811865476), ((27.5, 225.0), (29.0, 225.0), 1.5), ((264.0, 218.5), (264.5, 219.5), 1.118033988749895), ((61.0, 168.5), (60.5, 169.5), 1.118033988749895), ((75.0, 138.5), (76.0, 137.5), 1.4142135623730951)]"
1735708680,"[(237.0, 201.5), (28.5, 224.5), (180.5, 164.5), (147.0, 158.5), (60.5, 167.5), (87.5, 148.5), (132.5, 132.5), (46.0, 198.5), (148.0, 158.0), (237.0, 201.5), (87.5, 215.0), (88.0, 147.0), (61.0, 167.5), (180.5, 165.0), (28.5, 224.5), (113.5, 132.0), (46.5, 197.5)]",17,"[((237.0, 201.5), (237.0, 201.5), 0.0), ((28.5, 224.5), (28.5, 224.5), 0.0), ((180.5, 164.5), (180.5, 165.0), 0.5), ((147.0, 158.5), (148.0, 158.0), 1.118033988749895), ((60.5, 167.5), (61.0, 167.5), 0.5), ((87.5, 148.5), (88.0, 147.0), 1.5811388300841898), ((46.0, 198.5), (46.5, 197.5), 1.118033988749895)]"
1735699680,"[(239.0, 200.5), (183.0, 168.0), (96.0, 175.0), (28.5, 225.0), (58.0, 170.0), (119.0, 138.5), (136.5, 149.5), (96.0, 186.5), (142.0, 183.5), (238.0, 201.5), (184.5, 168.5), (27.0, 224.5), (92.0, 151.0), (61.0, 168.5), (116.5, 156.5), (116.0, 145.0), (135.5, 149.0)]",17,"[((239.0, 200.5), (238.0, 201.5), 1.4142135623730951), ((183.0, 168.0), (184.5, 168.5), 1.5811388300841898), ((28.5, 225.0), (27.0, 224.5), 1.5811388300841898), ((136.5, 149.5), (135.5, 149.0), 1.118033988749895)]"
1735572420,"[(214.0, 188.5), (95.0, 124.5), (170.0, 157.5), (62.5, 165.0), (83.5, 119.5), (75.0, 139.0), (131.5, 130.5), (142.0, 141.5), (213.5, 188.5), (116.5, 132.0), (75.0, 181.0), (170.5, 157.0), (93.5, 120.0), (75.0, 139.0), (83.5, 119.5), (132.0, 130.0), (144.5, 141.0)]",17,"[((214.0, 188.5), (213.5, 188.5), 0.5), ((170.0, 157.5), (170.5, 157.0), 0.7071067811865476), ((83.5, 119.5), (83.5, 119.5), 0.0), ((75.0, 139.0), (75.0, 139.0), 0.0), ((131.5, 130.5), (132.0, 130.0), 0.7071067811865476), ((142.0, 141.5), (144.5, 141.0), 2.5495097567963922)]"
1735698780,"[(28.5, 224.5), (239.5, 200.5), (112.5, 197.0), (182.5, 168.0), (65.0, 158.0), (102.5, 232.0), (114.0, 137.5), (145.0, 160.0), (131.5, 133.0), (52.5, 179.0), (28.0, 224.5), (181.5, 168.0), (236.0, 201.5), (66.5, 157.5), (54.0, 181.0), (145.5, 159.0), (101.5, 153.5)]",17,"[((28.5, 224.5), (28.0, 224.5), 0.5), ((182.5, 168.0), (181.5, 168.0), 1.0), ((65.0, 158.0), (66.5, 157.5), 1.5811388300841898), ((145.0, 160.0), (145.5, 159.0), 1.118033988749895), ((52.5, 179.0), (54.0, 181.0), 2.5)]"
